Words,Length,AROU M,AROU SD,VAL M,VAL SD
abattoir,8,4.2,2.4,2.864,1.74
abbey,5,3.125,2.342,5.781,1.268
abbreviate,10,3.273,1.582,5.25,1.031
abdicate,8,4.194,1.941,3.767,1.383
abdication,10,3.846,2.282,3.88,1.608
abdomen,7,4.714,2.092,5.486,0.967
abdominal,9,3.875,1.9,5.212,1.122
abduct,6,4.677,2.468,2.177,1.424
abducted,8,5.344,2.922,1.969,0.918
abduction,9,5.324,2.575,1.618,0.805
aberration,10,4.852,2.505,3.269,1.788
abide,5,3.875,1.816,5.375,1.516
ability,7,5.471,1.959,6.912,1.095
able,4,4.853,2.171,7.114,1.469
abode,5,3.897,1.807,5.71,1.349
abortion,8,3.914,2.989,2.588,1.611
abroad,6,6.548,2.077,6.743,1.317
abrupt,6,4.794,2.139,3.636,0.731
absorb,6,4.484,1.584,5.438,1.368
abstract,8,4.743,2.116,5.294,1.34
absurd,6,5.452,1.965,3.563,1.657
absurdly,8,4.515,1.956,3.394,0.983
abundance,9,4.714,2.373,6.576,1.256
abundant,8,5.235,2.402,7,1.633
abuse,5,4.879,2.783,1.563,1.499
abuser,6,5.059,3.217,1.5,1.036
abyss,5,6.226,1.963,3.242,1.97
academic,8,5.733,2.19,7.313,1.402
accelerate,10,6.794,1.491,6.382,1.189
accent,6,5.529,1.898,5.629,1.267
accept,6,5.182,1.8,6.688,1.333
acceptance,10,4.743,2.005,7.5,1.144
access,6,4.121,1.805,6.353,1.082
accident,8,5.4,2.18,2.765,1.113
accidental,10,4.382,1.847,3.941,1.162
accordion,9,4,2.719,5.727,1.136
accountant,10,2.9,1.739,4.433,1.023
accuse,6,5.742,1.813,2.742,0.717
accused,7,4.765,2.289,2.546,1.233
ace,3,5.735,2.091,7.333,1.247
ache,4,5.167,1.845,2.75,0.829
aches,5,4.063,1.968,2.871,0.975
achieve,7,6.424,1.955,7.75,1.436
achieved,8,6.143,2.072,7.886,1.43
achievement,11,6.333,2.383,7.938,1.478
acorn,5,4.364,1.755,5.742,1.106
acquire,7,4.419,2.028,6.257,1.104
acrobat,7,5.182,2.249,6.031,1.159
activate,8,5.242,2.349,6.471,1.169
active,6,6.531,1.785,7,0.901
activity,8,6.086,1.933,6.629,1.044
actor,5,5.515,2.204,6.281,1.419
actress,7,5.719,2.08,5.939,1.65
actual,6,4.121,1.665,5.559,0.945
actually,8,4.294,1.948,5.543,0.873
acute,5,4.235,2.045,4.941,1.235
adage,5,3.118,2.055,5.222,0.533
adapt,5,4.188,1.911,6.086,1.461
add,3,4,1.942,5.647,0.836
addict,6,4.857,2.307,2.171,1.108
addicted,8,6.094,2.17,2.424,0.922
addition,8,3.4,1.87,5.457,0.873
address,7,3.206,1.875,5.382,0.768
address (postal),7,3.546,1.94,5,0.739
address (speak to),7,4,2.029,5.559,1.063
adequate,8,3.778,1.718,5.333,1.564
adjective,9,3.636,1.738,5.394,0.851
adjust,6,4.364,1.702,5.727,1.262
admiral,7,5.029,1.993,5.882,1.471
admire,6,6.294,1.871,7.625,1.139
admired,7,6.6,1.534,7.882,0.993
adopt,5,4.387,1.559,6.094,1.665
adorable,8,6.936,1.39,7.781,1.166
adore,5,6.516,1.847,8.226,0.831
adult,5,5.059,1.909,5.882,1.207
adultery,8,5.912,2.672,1.882,1.207
adults,6,4.559,2.278,5.543,0.996
advanced,8,5.382,1.971,6.606,1.938
advantage,9,6.531,1,7.303,1.167
adventure,9,7.853,1.517,7.971,0.985
adverb,6,2.938,1.87,5.094,0.843
adverse,7,4.371,2.256,3.091,1.464
adversity,9,4.8,2.33,3.774,1.736
advice,6,4.088,1.721,6.229,1.267
advise,6,4.182,1.585,6.441,1.241
advisor,7,3.364,1.823,6.029,0.954
advisors,8,3.606,2.074,6,1.414
aeroplane,9,4.914,2.196,5.941,1.305
afar,4,3.781,1.883,4.294,1.296
affair,6,5.969,2.391,2.438,1.321
affect,6,4.5,2.145,4.941,1.027
affection,9,6.824,2.162,8.177,0.954
affectionate,12,7.206,1.795,8,0.853
afford,6,4.853,2.171,5.879,1.996
affordable,10,4.774,2.027,6.8,1.327
afraid,6,5.514,2.534,2.206,0.832
after,5,4.382,1.847,5.143,0.96
afterlife,9,5,2.361,5.212,2.114
age,3,3.514,1.763,4.939,0.983
aged,4,2.857,1.659,3.879,1.665
agent,5,4.54,1.78,5.109,1.12
aggression,10,6.182,2.418,2.281,1.305
aggressive,10,6.455,2.105,2.094,1.182
agile,5,6.333,1.837,6.941,1.136
agility,7,5.939,1.906,6.778,1.204
agony,5,5.515,2.476,1.546,0.891
agree,5,5.382,1.476,7.382,1.394
agreement,9,5.531,2.121,7.714,1.002
aid,3,5.219,1.763,6.909,1.334
aim,3,4.794,2.069,6.606,1.229
aim (objective),3,4.909,2.34,6.382,1.189
aim (target),3,5.2,2.214,5.6,1.642
air,3,4.813,1.845,6.719,1.463
airplane,8,5.265,2.279,5.794,1.568
airport,7,5.767,1.856,5.387,1.407
aisle,5,3.613,1.826,5.226,1.007
albatross,9,4.148,2.401,5.127,1.148
album,5,4.031,1.992,5.767,0.989
alcohol,7,5.758,2.175,5.219,1.763
alcoholic,9,4.686,2.594,2,1.549
alert,5,6.625,1.949,5.719,1.644
algebra,7,2.323,1.654,3.839,1.706
alien,5,5.091,2.789,4.686,1.582
alimony,7,3.542,1.802,3.75,1.43
alive,5,6.758,2.161,8,1.231
all,3,3.625,1.916,5.469,0.968
allergy,7,3.629,2.03,2.912,0.919
alley,5,4.125,1.9,4.088,0.951
alligator,9,5.656,2.01,4.364,1.755
allow,5,4.088,1.853,6.206,1.079
allowed,7,4.706,2.163,6.571,1.745
allure,6,5.833,2.252,6,1.461
aloft,5,4.069,1.893,5.267,0.854
alone,5,3.824,2.407,2.714,1.446
aloof,5,4.4,2.123,4.2,1.352
aloud,5,5.457,1.991,5.314,1.214
altar,5,3.758,1.97,4.719,1.988
alter,5,4.727,1.462,5.242,1.232
altitude,8,5.061,2.461,5.152,1.048
amateur,7,3.824,1.992,4.147,0.845
amaze,5,6.529,2.239,7.5,1.219
amazing,7,7.147,1.498,8.406,1.114
ambassador,10,4.781,1.833,6.125,1.293
amber,5,4.933,1.672,5.733,1.124
ambition,8,6.879,2.056,7.686,1.282
ambulance,9,5.412,2.328,4.722,2.673
ammunition,10,5.818,2.194,2.849,1.5
amount,6,3.647,1.939,5.618,1.058
amphibian,9,4.086,1.857,5.412,1.166
amplifier,9,5.9,2.087,5.871,0.793
amplify,7,5.97,2.263,5.758,1.181
amputate,8,4.714,2.679,2.294,1.563
amuse,5,6.059,1.714,7.412,1.088
amusement,9,6.486,2.183,7.629,0.929
amusing,7,6.088,2.201,7.818,1.058
analogue,8,3.394,1.906,4.971,0.822
analyst,7,3.5,2.186,5.121,0.686
anchor,6,3.629,1.838,5.171,1.159
ancient,7,3.788,2.253,5.613,1.21
anecdote,8,5.206,1.811,6.088,1.358
angel,5,5.97,2.236,8.118,0.963
anger,5,5.636,2.568,2.529,1.5
angle,5,3.824,2.036,5.063,0.609
angry,5,5.906,2.283,2.394,1.013
anguish,7,4.771,2.166,2.457,1.338
animal,6,5.323,2.234,6.206,1.43
animals,7,5.807,1.991,6.939,1.476
