sentence,Valence,Arousal
"""sigh"" Three weeks.",2.0,2.0
"""the Grunion are running tonight,"" I said ""great, let's go, I feel lucky,""",3.0,4.0
'Cause I-I just don't know how someone could have gotten my charge information,2.3333,3.0
"'Cause if you've been looking, you've been applying for jobs for three years. And-",3.0,2.5
"'Cause listen, I'm telling you, I don't know where to go from there. Do you?",2.0,4.0
'Cause that's roughly how much the bag plus all its contents was worth.,2.5,3.0
'Cause you can take those things out of a war.  But you have to realize that those things came out of the love that a man can have for another man...,1.5,2.5
"'Cause you mustn't feel that way.  Because you have a right to everything that you have.  Do you understand that?  Everything, Chris, and me too.",3.0,3.5
"'Cause you mustn't feel that way.  Because you have a right to everything you have, Chris.  Everything, you understand that?  Me too.",2.0,3.5
"'Cause you mustn't feel that way.  Everything you have, you have a right to...",2.5,3.0
'Cause you started to write me.,4.0,2.0
"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",1.5,4.5
"'Cause, you know, it's like you get to know a lot of people in the dorms and.",4.0,4.0
"'Cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on.",3.0,2.0
'Cause- 'Cause he was with me. You didn't do it did you?,4.75,3.75
"'cause you know what you get Carla, you know what you get? This.",2.0,3.5
"'cause you know what you get, Carla?  You know what you get?  This.",2.0,3.5
"'cause, you know, I mean, it's like If I ever want to go south of campus",3.5,3.5
"-- I mean, I don't understand.  It's like -- I mean, I feel like I'm qualified enough.  I just don't understand.  Like, I mean, it's just like a matter of circumstance, but it's been three years, you know, three years.",2.3333,3.6667
-- No.  I'm not waiting...I'm not coming back again.  I don't have time to come back five days.,1.5,4.5
-- four hundred miles?,2.0,3.3333
-- it's a biohazard. so- um,2.6667,2.3333
--arriving any time soon.,3.0,3.0
--it doesn't really do anything.  But--,3.0,2.5
--it just kind of freaks you out.,2.5,2.5
--need me on the specialist honey.,2.0,2.5
--really important stuff.,3.0,3.0
"--you know, the kids wanna go to the beach and stuff and so--um",3.0,4.0
--you know? Head of the Science Club.,2.5,2.0
-But online is faster I can do that.,3.0,3.6667
"-Oh, you infuriate me sometimes. You know, it's not just my business too if dad throws a fit.",1.6667,4.0
-She's not his girl Joe; she knows she's not.,2.0,4.0
-and so... yeah.,4.0,2.5
"-because you were always wrong and-and-and this time you were right. And-and I didn't -- yeah, that's why.",4.0,3.3333
"-do I miss him or do I hate him, you know?",1.5,3.0
-drunk.,4.0,2.5
"-have to, have to what?",2.5,3.0
-he's not gonna marry her.,2.6667,2.6667
"-it's going to get better I promise you. You just got to hang in there. Everyone, I mean, you know?",3.0,2.5
"-just going and auditioning and auditioning and rejection after refection, it's like--",2.0,4.0
-on average would use.,3.0,3.0
-they're evicting me from my apartment.,2.0,2.0
-to make up the three million dollars.,2.5,2.0
... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--,3.0,3.5
...and then what's that going to do to your father?  Do you know?  I don't.,2.6667,2.6667
...and you know?  Baby the jokes on us.  Because you know what you get?  Do you know what you get Carla?  You get this.,1.6667,3.3333
...and you're always right.,2.5,3.0
...and your future...,3.0,2.5
"...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--",4.25,3.0
"...because also on the list of their, um, like G.E.'s or whatever, you have a lot of choices within every single one.  So you can, like, try things out and not just be like, oh, I have to take math, oh, I have to take this.  You know what I mean?",3.5,3.5
...cause really,2.0,2.5
...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know,4.0,3.5
"...hang out and, like, have our different lives--And meet each other's friends and stuff.  So, I'm just so glad 'cause they have such a good school",4.5,4.0
...has anyone ever just said anything like that to you before?,3.0,3.0
...having three small minute liquor glasses in the evening is hardly going on and on and on.,2.0,3.0
...it would be so much better if we can--if we could stay together somehow.  You know--we could--we could do this together.,2.5,3.0
"...like and they all just turned at once and formed a line as long as the California coast and started swimming this way.  They didn't, you know, they didn't make a decision, they didn't, you know, have boats or anything.  No one sent them an invitation or a map, they just started swimming as if that's the only thing that matters.",3.5,5.0
"...like, they feel like--I feel like it's going to be so like accomplished.  Do you know what I mean?",4.0,3.0
...only if you ever so much as look at another woman I'll kill you.,4.0,3.5
...pick up anything?,2.5,2.0
"...that's first choice, huh? That's so awesome and now look you're gonna be--you're gonna be here. you know",5.0,4.0
...the way he wanted to live and he was gonna go to Africa and he was gonna--,2.0,2.6667
...to this spot for this massive celebration of like sex and death...,4.0,4.0
...we're all shipping out.,2.0,2.0
...you can't get a job and refuse to have a resume.,2.5,2.5
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,2.0,3.0
".than you know, in pain and like this gradual, this horrible process.  I mean--",2.6667,3.0
A U.S.C. graduate now. You're set.,4.0,4.0
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",2.5,3.5
A chocolate cake?,4.0,2.5
A day's worth of business.  You know how much I make in a day?,3.0,2.5
A day?,3.0,2.5
A few weeks.  You won't even know that they were there.,3.0,3.0
A free calling card?,3.0,2.5
A good apartment. [BREATHING],3.5,3.0
A good friend of mine passed away the other day.,2.0,2.0
A law firm.  Thank you very much.,3.0,2.5
A letter? I'll make a personal phone call.,2.0,3.0
A little family.,3.5,2.5
A little more selfish and they'd still be here today.  And I got this idea watching them go down.  See everything was being destroyed but there was one new thing that was being created.,2.5,2.5
A lot of people loved him.,2.5,2.0
"A new carpet, a poodle, a backrub, ice cream, a suicide pact.  What?  What?  Carla what the hell do you want?",1.5,3.5
"A new carpet, a poodle, a suicide pact, ice cream, a back rub, what?  What?  What the hell do you want?",1.5,4.0
"A new carpet?  A poodle?  An ice cream?  A back rub?  A suicide pact?  What?  What, Carla?  What the hell do you want?",1.5,4.5
"A new carpet?  A poodle?  Ice cream?  Back rub?  A suicide pact?  What?  What?  Carla, what the hell do you want?",2.0,4.0
"A new carpet? A poodle, a ice cream, backrub, a suicide pact, what, what Carla, what the hell do you want?",2.0,4.5
A new carpet? A poodle?,2.3333,3.3333
A party celebrating your acceptance.,4.0,3.0
"A poodle, a backrub, a spa, a suicide pack?  What, Carla, what the hell do you want?",1.6667,4.0
A rapper party ho. Yeah. Okay.,4.5,4.5
A resume?,2.5,3.0
A vacation?,2.2083375,3.3333250000000003
"A vacation? A new carpet, a poodle?  A bag of ice cream, a suicide pack, what what Carla?  What the hell do you want?",2.0,4.5
A week.  You're giving me a week to be okay with this.,1.5,2.5
A whole year? --We're not talking about like a couple months here.  I mean this is a whole year.,2.0,4.0
"A woman's job is to allure the man.  Watch me a minute, will you?",2.5,2.5
"A-a back rub, some ice cream, a suicide pact. What the hell do you want, Carla?",2.0,4.3333
"About all of that, about all I was talking about.",4.0,2.0
About four in the morning.  I heard a crack and I looked out and he was standing right there when it happened.,3.0,2.5
About four this morning.  I heard it crack and I looked out the window and he was standing right there when it cracked.,2.5,2.5
About four this morning.  I heard it cracking and I woke up and looked out.  He was standing right there when it cracked.,2.5,2.25
About four this morning.  I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,3.0,2.5
About four this morning. I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,2.5,2.5
About three million dollars.,3.0,2.5
About two and a half weeks.,3.0,3.0
About what I just said.,3.0,3.0
About what I just said?,3.0833500000000003,3.4166499999999997
About what I was just saying.,3.0,3.0
About what I was saying.,3.75,2.5
About what?,2.7156882352941176,2.2156882352941176
"Absolutely, absolutely.",2.0,3.0
Absolutely.,2.75,2.5
Absolutely.  It's a new service we are offering.,3.5,3.5
Absolutely.  That actually goes in on the same package with our hotel.  You just give me your address.  We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,3.5,3.0
Absolutely. And I just don't want that to happen to you anymore.,3.5,2.5
Absolutely. I'm so excited.,5.0,4.0
Absolutely. Thank you so much for calling and we hope that you will come to us again.,4.0,3.0
Absolutely. we we,3.5,2.5
Acti- acting pants.,4.0,2.5
"Acting Pants? So what are you going to do? Are you--you're be--you're going to stay here, right?",4.0,3.5
"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",4.0,3.0
"Actually I'm looking here at the information, the flight that you were on we had some trouble with some of the baggage, it looks like a few peoples' bags didn't make it through. Um, so-",3.0,3.0
"Actually now that you mention it, no I don't.",3.0,2.0
"Actually now that you mention it, no, I don't.",3.0,2.6667
Actually that's perfectly true.,3.5,3.0
Actually too long.,3.0,1.5
"Actually, I wanted to go a little farther up the coast, get away from the lights and the people, but I was afraid to miss it.  How you doing?",3.5,2.5
"Actually, I wanted to go a little farther up the coast, get away from the lights and the people, but I was afraid we'd miss it.  How you doing?",3.5,2.5
"Actually, now that you mention it, no I don't.",2.6667,2.3333
"Actually, now that you mention it, no.  I don't.",2.9166499999999997,2.8333500000000003
"Actually, now that you mention it.  No, I don't.",4.0,2.5
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",2.5,3.5
"Actually, you know what?  Now you mentioned that--no I don't.",2.5,2.0
