Number,English sentence,Polish sentence,Number of words,Number of letters,Valence all,Arousal all,Dominance all,Origin all,Significance all,Source all,Valence Main Sample,Valence Main Sample,Valence Main Sample,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Male,Valence Main Sample Male,Valence Main Sample Male,Valence psych,Valence psych,Valence psych,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal psych,Arousal psych,Arousal psych,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Male,Dominance Main Sample Male,Dominance Main Sample Male,Dominance psych,Dominance psych,Dominance psych,Origin Main Sample,Origin Main Sample,Origin Main Sample,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Male,Origin Main Sample Male,Origin Main Sample Male,Origin psych,Origin psych,Origin psych,Significance Main Sample,Significance Main Sample,Significance Main Sample,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Male,Significance Main Sample Male,Significance Main Sample Male,Significance psych,Significance psych,Significance psych,Source Main Sample,Source Main Sample,Source Main Sample,Source Main Sample Female,Source Main Sample Female,Source Main Sample Female,Source Main Sample Male,Source Main Sample Male,Source Main Sample Male,Source psych,Source psych,Source psych,,,,,,,,,,
Number,English sentence,Polish sentence,Number of words,Number of letters,Mean,Mean,Mean,Mean,Mean,Mean,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,N,Mean,SD,Subtlex-pl Mean frequency of words composing sentence ,Subtlex-pl Median of frequency of words composing sentence,Subtlex-pl Mean LN of frequency of words composing sentence,noun_%,adjective_%,verb_%,adverb_%,conjunction_%,preposition_%,other_%
1,Alicia had a black and white cat named Philemon.,Alicja ma biało czarnego kota o imieniu Filemon.,8,48,6.23,2.38,4.65,5.08,1.87,6.49,54,6.52,1.63,33,6.64,1.71,21,6.33,1.53,26,5.62,1.2,55,2.27,1.93,28,2.07,1.98,27,2.48,1.89,24,2.63,1.5,54,4.69,2.39,33,4.64,2.42,21,4.76,2.41,23,4.57,1.31,53,5.21,2.57,28,4.89,2.82,25,5.56,2.26,26,4.81,2.48,52,2.19,1.95,27,2.22,1.76,25,2.16,2.17,24,1.17,0.38,54,6.56,2.34,30,6.73,2.46,24,6.33,2.2,23,6.35,2.12,164256.2857,2896,8.9,0.43,0.14,0.14,0.14,0.00,0.14,0.00
2,It is sometimes hard to overcome aversion to someone who has hurt us.,Awersja w stosunku do kogoś kto nas krzywdził jest czasem trudna do przezwyciężenia.,13,84,2.96,5.56,4.19,3.96,6.62,3.87,54,2.91,1.73,33,2.52,1.56,21,3.52,1.83,26,3.08,1.35,55,5.24,2.24,28,5.07,1.96,27,5.41,2.52,24,6.29,1.83,54,4.41,2.6,33,4.33,2.71,21,4.52,2.46,23,3.7,2.38,53,3.92,2.36,28,3.64,2.16,25,4.24,2.57,26,4.04,2.96,52,6.56,1.87,27,6.89,1.69,25,6.2,2.02,24,6.75,1.94,54,3.67,2.53,30,3.7,2.56,24,3.63,2.53,24,4.33,3.28,460618.75,90953,10.22,0.36,0.09,0.18,0.00,0.00,0.27,0.09
3,Sometimes our indifference toward people collides with hope of getting support from them.,"Bywa, że nasza obojętność wobec ludzi zderza się z nadzieją na wsparcia z ich strony. ",15,85,4.24,4.05,4.31,4.29,5.87,4.04,54,4.33,1.64,33,4.33,1.74,21,4.33,1.49,26,4.04,1.34,55,3.71,2.1,28,3.64,2.31,27,3.78,1.89,24,4.83,1.74,54,4.39,1.99,33,4.3,2.3,21,4.52,1.4,23,4.13,1.96,53,4.34,1.96,28,4.25,2.14,25,4.44,1.78,26,4.19,1.65,52,5.62,2.13,27,5.93,1.8,25,5.28,2.42,24,6.42,1.89,54,3.93,1.95,30,3.77,2.05,24,4.13,1.85,24,4.29,2.6,537762.7333,19823,10.21,0.36,0.07,0.14,0.00,0.07,0.29,0.07
4,All of the bugs and filth found under decaying tree stumps gives a person the shivers.,Całe to robactwo i paskudztwo siedzące pod spróchniałym pniem wywołuje dreszcze.,11,80,2.82,5.43,3.75,4.44,2.93,6.45,54,3.06,1.98,33,2.64,1.65,21,3.71,2.28,26,2.35,1.29,55,5.13,2.55,28,5.18,2.78,27,5.07,2.34,24,6.13,2.27,54,3.74,2.04,33,3.82,2.16,21,3.62,1.88,23,3.78,1.98,53,3.85,2.26,28,3.32,2.02,25,4.44,2.4,26,5.65,2.94,52,3.12,2.05,27,3.63,2.31,25,2.56,1.61,24,2.54,1.98,54,6.43,2.26,30,6.47,2.33,24,6.38,2.22,24,6.5,2.45,441021.7,656,8.01,0.50,0.10,0.20,0.00,0.10,0.10,0.00
5,The clouds we see in the sky are water droplets floating in the air.,"Chmury, które widzimy na niebie, to drobinki wody unoszące się w powietrzu.",12,75,5.96,2.48,4.14,7.06,2.95,7.03,54,6.02,1.52,33,6.06,1.27,21,5.95,1.88,26,5.85,1.26,55,2.6,1.83,28,2.18,1.42,27,3.04,2.12,24,2.21,1.59,54,3.93,2.34,33,3.64,2.28,21,4.38,2.42,23,4.65,2.53,53,6.96,2.31,28,7.11,2.42,25,6.8,2.22,26,7.27,2.44,52,2.96,1.95,27,2.63,1.78,25,3.32,2.1,24,2.92,1.89,54,7.26,1.99,30,7.9,1.35,24,6.46,2.38,24,6.5,2.17,709060.9167,9673.5,9.87,0.50,0.08,0.17,0.00,0.00,0.17,0.08
6,"Although people are sometimes cowards, one’s own cowardice leaves a bad taste.","Choć stchórzenie się ludziom zdarza, własne tchórzostwo pozostawia niesmak. ",9,75,3.56,4.75,3.58,4.72,5.57,2.79,54,3.91,1.84,33,4.03,1.94,21,3.71,1.68,26,2.85,1.22,55,4.85,2.17,28,4.64,1.68,27,5.07,2.6,24,4.5,2.15,54,3.54,2.03,33,3.33,2.07,21,3.86,1.96,23,3.7,2.2,53,4.66,2.5,28,4.75,2.55,25,4.56,2.48,26,4.85,2.03,52,5.44,1.76,27,5.52,1.83,25,5.36,1.73,24,5.83,1.9,54,2.63,2,30,2.97,2.11,24,2.21,1.82,24,3.17,2.44,287413.75,6208,8.18,0.38,0.13,0.25,0.00,0.13,0.00,0.13
7,"Although it is not easy, people are capable of forgiving even the gravest transgressions.","Choć to niełatwe, ludzie są zdolni do przebaczania nawet najcięższych przewinień.",11,81,5.65,4.49,5.52,3.59,6.47,3.13,54,5.65,1.95,33,5.79,1.82,21,5.43,2.18,26,5.65,1.94,55,4.24,2.49,28,4.43,2.64,27,4.04,2.34,24,5.08,2.38,54,5.37,2.48,33,5.61,2.47,21,5,2.51,23,5.87,1.87,53,3.38,2.3,28,2.79,2.08,25,4.04,2.39,26,4.04,2.84,52,6.27,2.08,27,6.37,1.94,25,6.16,2.25,24,6.92,1.82,54,2.83,1.98,30,2.6,1.73,24,3.13,2.25,24,3.79,2.41,393803.8182,11783,8.65,0.36,0.27,0.09,0.00,0.09,0.09,0.09
8,Perhaps the thing that is most important to people is being happy with themselves.,Chyba  najbardziej człowiekowi zależy na zadowoleniu z siebie.,8,62,6.39,4.15,6.87,5.75,6.71,3.21,54,6.33,2.14,33,6.24,2.12,21,6.48,2.2,26,6.5,1.7,55,3.76,2.27,28,3.79,2.22,27,3.74,2.36,24,5.04,2.8,54,6.67,2.09,33,6.82,2.01,21,6.43,2.25,23,7.35,1.61,53,6,2.69,28,6.21,2.66,25,5.76,2.76,26,5.23,2.3,52,6.33,2.12,27,6.37,2.4,25,6.28,1.81,24,7.54,1.47,54,2.89,2.55,30,2.33,2.17,24,3.58,2.86,24,3.92,2.64,385410.375,39977.5,10.1,0.29,0.00,0.14,0.14,0.00,0.29,0.14
9,Perhaps the greatest source of disgust in humans is the sight and smell of carrion.,Chyba największe obrzydzenie wywołuje w ludziach widok i smród padliny.,10,71,2.74,5.99,3.53,4.94,3.46,6.05,54,2.83,2.08,33,2.67,1.98,21,3.1,2.26,26,2.54,1.42,55,5.98,2.48,28,6.21,2.74,27,5.74,2.19,24,6,2.36,54,3.48,2.08,33,3.52,2.33,21,3.43,1.66,23,3.65,1.82,53,4.72,2.51,28,4.71,2.42,25,4.72,2.65,26,5.38,2.77,52,3.42,1.86,27,3.78,1.78,25,3.04,1.9,24,3.54,1.96,54,5.98,2.75,30,5.47,2.74,24,6.63,2.68,24,6.21,2.89,336970.9,2251,8.67,0.50,0.10,0.10,0.00,0.10,0.10,0.10
10,Great entertainment and fun can add color and beauty to everyday life.,Codzienność można ubarwić i upiększyć przez wspaniałą rozrywkę i zabawę.,10,72,7.28,5.18,6.26,5.05,5.95,5.5,54,7.2,1.99,33,7.36,1.83,21,6.95,2.25,26,7.42,1.06,55,4.64,2.52,28,4.57,2.78,27,4.7,2.27,24,6.42,2.62,54,6.02,2.27,33,6.12,2.15,21,5.86,2.5,23,6.83,1.47,53,5.32,2.4,28,5.68,2.39,25,4.92,2.4,26,4.5,2.32,52,5.77,2.17,27,5.85,2.35,25,5.68,1.99,24,6.33,1.55,54,5.2,2.28,30,5.37,1.97,24,5,2.64,24,6.17,2.44,314930.1,2453,8.37,0.33,0.11,0.22,0.00,0.22,0.11,0.00
11,"It is sometimes difficult to bear stench, especially when it stifles the breath and suffocates.","Czasem trudno jest znieść fetor, szczególnie kiedy dławi i dusi w gardle.",12,73,2.26,5.99,3.06,5.67,3.7,5.86,54,2.33,1.61,33,2.06,1.34,21,2.76,1.92,26,2.12,1.34,55,5.75,2.56,28,5.75,2.73,27,5.74,2.43,24,6.54,2.13,54,3.15,2.4,33,3.27,2.43,21,2.95,2.4,23,2.87,1.58,53,5.66,2.96,28,6,3.07,25,5.28,2.85,26,5.69,2.69,52,3.37,1.86,27,3.44,1.85,25,3.28,1.9,24,4.42,2.38,54,5.93,2.45,30,6.17,2.25,24,5.63,2.7,24,5.71,2.48,396041.3333,8565,9.27,0.17,0.00,0.33,0.17,0.17,0.08,0.08
12,Sometimes disgust prohibits us from crossing a certain line and approaching atrocity.,Czasem wstręt nie pozwala nam przejść pewnej granicy i zbliżyć się do okropności.,13,81,2.96,5.72,3.32,4.61,4.88,4.78,54,3.15,1.93,33,2.88,1.73,21,3.57,2.18,26,2.58,1.24,55,5.38,2.18,28,5.64,2.28,27,5.11,2.08,24,6.5,2.19,54,3.39,2.28,33,3.42,2.39,21,3.33,2.15,23,3.17,1.92,53,4.28,2.01,28,4.07,1.9,25,4.52,2.14,26,5.27,2.89,52,4.65,2.09,27,5.37,1.98,25,3.88,1.94,24,5.38,2.1,54,4.74,2.19,30,4.37,1.99,24,5.21,2.38,24,4.88,2.74,672580.5385,7437,9.92,0.25,0.08,0.25,0.00,0.08,0.08,0.25
