Word/Sentence,Valence,Arousal
aardvark,0.6575,0.17625000000000002
abalone,0.5375,0.20625
abandon,0.22999999999999998,0.34125
abandonment,0.20375,0.49375
abbey,0.60625,0.15000000000000002
abdomen,0.55375,0.335
abdominal,0.43500000000000005,0.3125
abduct,0.1775,0.6125
abduction,0.13124999999999998,0.54125
abide,0.565,0.2825
abiding,0.57125,0.32375
ability,0.75,0.48124999999999996
abject,0.375,0.3675
ablaze,0.51875,0.71875
able,0.705,0.2975
abnormal,0.31625,0.43500000000000005
abnormality,0.25625,0.5
abode,0.535,0.2375
abolish,0.355,0.39749999999999996
abominable,0.38125,0.55625
abomination,0.1875,0.6125
abort,0.2625,0.6
abortion,0.1975,0.55375
abracadabra,0.51375,0.53375
abrasive,0.4075,0.6375
abreast,0.4525,0.45125000000000004
abrupt,0.285,0.52875
abscess,0.22375,0.375
absence,0.3575,0.4125
absent,0.38749999999999996,0.34
absinthe,0.31625,0.3375
absolute,0.55375,0.31
absolution,0.6975,0.2975
absolve,0.4475,0.31625
absorb,0.5625,0.40874999999999995
abstain,0.42500000000000004,0.2625
abstinence,0.30375,0.26875
abstract,0.53125,0.37
absurd,0.43125,0.37749999999999995
absurdity,0.38249999999999995,0.4625
abundance,0.70875,0.46499999999999997
abundant,0.81875,0.40125
abuse,0.06625,0.65125
abusive,0.13124999999999998,0.53375
abysmal,0.30625,0.36375
abyss,0.3625,0.48124999999999996
academic,0.70125,0.29
academy,0.54,0.34625
accelerant,0.44875,0.47624999999999995
accelerate,0.6375,0.63
accelerated,0.65125,0.46875
acceleration,0.64875,0.71625
accelerator,0.57875,0.5
accent,0.685,0.49375
accept,0.67375,0.22499999999999998
acceptable,0.69875,0.33125
acceptance,0.73,0.4125
access,0.71,0.5375
accessible,0.71,0.275
accessory,0.54375,0.40249999999999997
accident,0.19374999999999998,0.49124999999999996
accidental,0.3075,0.375
acclaim,0.6375,0.36875
accommodate,0.66875,0.25
accommodation,0.72,0.46499999999999997
accompany,0.55875,0.35625
accomplice,0.44999999999999996,0.4375
accomplish,0.80625,0.52
accomplishment,0.8812500000000001,0.495
accord,0.6725,0.23125
accordion,0.5325,0.2425
account,0.54875,0.345
accountability,0.48624999999999996,0.3375
accountable,0.5875,0.4
accountant,0.52375,0.35125
accounting,0.4275,0.335
accumulate,0.66625,0.21625
accuracy,0.665,0.29125
accurate,0.8025,0.41874999999999996
accursed,0.27625,0.54125
accusation,0.2975,0.56
accuse,0.21000000000000002,0.54
ace,0.67125,0.45499999999999996
acetylene,0.38875000000000004,0.33375
ache,0.28375,0.4125
achieve,0.84375,0.4625
achievement,0.785,0.57125
achy,0.26875,0.43500000000000005
acid,0.2825,0.47124999999999995
acknowledge,0.67875,0.2825
acknowledgement,0.69125,0.2875
acne,0.14750000000000002,0.43374999999999997
acorn,0.60625,0.4275
acoustic,0.7625,0.375
acoustics,0.66625,0.27375
acquaintance,0.5725,0.28
acquire,0.5625,0.48250000000000004
acquisition,0.5,0.42000000000000004
acquit,0.575,0.44499999999999995
acquittal,0.64875,0.49375
acre,0.56625,0.21625
acreage,0.53125,0.3425
acrobat,0.625,0.48750000000000004
acrylic,0.565,0.34125
act,0.58,0.39875000000000005
action,0.625,0.64875
action figure,0.6475,0.45625000000000004
activate,0.5875,0.3475
activation,0.6425,0.315
active,0.68375,0.5775
activist,0.655,0.5325
activity,0.65125,0.48250000000000004
actor,0.64375,0.41874999999999996
actress,0.5525,0.55375
actual,0.6525,0.21875
actuality,0.55,0.56875
acupuncture,0.47624999999999995,0.48750000000000004
acute,0.5125,0.51125
ad,0.38875000000000004,0.29125
adage,0.56875,0.2975
adamant,0.55625,0.5925
adapt,0.605,0.3625
adaptation,0.6025,0.31875
add,0.65375,0.375
adder,0.43125,0.28
addict,0.23249999999999998,0.54125
addicted,0.23625000000000002,0.47124999999999995
addiction,0.315,0.43500000000000005
addictive,0.315,0.47750000000000004
additional,0.64375,0.32625
address,0.63875,0.25625
adept,0.6425,0.39625
adequate,0.4625,0.33
adhere,0.52125,0.315
adhesive,0.605,0.275
Adidas,0.59625,0.39749999999999996
adjacent,0.51875,0.22249999999999998
adjective,0.61875,0.33
adjoining,0.5075,0.315
adjourn,0.5625,0.26875
adjust,0.595,0.25
adjuster,0.40625,0.3125
adjustment,0.56625,0.44875
admin,0.42125,0.33
administer,0.42500000000000004,0.3575
administration,0.43125,0.27875
administrative,0.47375,0.27625
administrator,0.54,0.4675
admirable,0.75,0.44625000000000004
admiral,0.475,0.38125
admiralty,0.645,0.40874999999999995
admiration,0.8225,0.565
admire,0.79375,0.5
admired,0.78125,0.61875
admirer,0.75625,0.625
admissible,0.52,0.2375
admission,0.61375,0.33625
admit,0.57,0.29375
admittance,0.66125,0.325
ado,0.47750000000000004,0.29125
adobe,0.53125,0.36125
adolescence,0.625,0.5125
adolescent,0.5475,0.4
adopt,0.7375,0.46375
adoption,0.71,0.47750000000000004
adoptive,0.58375,0.42500000000000004
adorable,0.8,0.4575
adoration,0.68375,0.42000000000000004
adore,0.79625,0.62
adoring,0.7975,0.48250000000000004
adrenalin,0.66625,0.50625
adrenaline,0.70125,0.61875
adrift,0.42000000000000004,0.27375
adult,0.6125,0.42000000000000004
adulterer,0.22125,0.585
adultery,0.22625,0.6775
adulthood,0.50625,0.41000000000000003
advance,0.63875,0.4525
advanced,0.6425,0.35375
advancement,0.80875,0.60125
advantage,0.71375,0.36875
advantageous,0.72375,0.5875
adventure,0.8,0.67
adventurer,0.75,0.53375
adventurous,0.79625,0.70875
adversary,0.44375,0.42625
adverse,0.335,0.36125
adversity,0.4075,0.3525
advertise,0.52,0.41125
advertisement,0.4125,0.39249999999999996
advertising,0.45999999999999996,0.28125
advice,0.5975,0.25625
advisable,0.5775,0.42000000000000004
advise,0.555,0.2975
advisement,0.44375,0.38
adviser,0.585,0.295
advisor,0.4675,0.27375
advisory,0.49375,0.38125
advocate,0.53125,0.44875
aerial,0.63,0.33375
aerobics,0.625,0.5125
aerodynamic,0.645,0.41625
aerospace,0.59875,0.43999999999999995
aesthetic,0.55375,0.235
affair,0.2625,0.55
affect,0.58125,0.32625
affection,0.86125,0.58
affectionate,0.77875,0.47124999999999995
affidavit,0.4225,0.34125
affiliation,0.54,0.3625
affinity,0.6075,0.41125
affirmation,0.61875,0.36875
affirmative,0.6175,0.33
affliction,0.345,0.5125
afford,0.695,0.41625
affordable,0.815,0.38875000000000004
affront,0.44125000000000003,0.4375
afire,0.63125,0.55125
afloat,0.57125,0.39125
aforementioned,0.52625,0.3125
afraid,0.15625,0.515
african,0.6775,0.38875000000000004
afterlife,0.56625,0.41500000000000004
aftermath,0.41125,0.5475
afternoon,0.71,0.31
aftershave,0.56875,0.3125
age,0.5975,0.33875
agency,0.5175,0.27125
agenda,0.50625,0.3275
agent,0.52875,0.30375
aggravate,0.19374999999999998,0.6125
aggravation,0.185,0.54375
aggression,0.2725,0.58625
aggressive,0.26,0.60875
aggressiveness,0.3225,0.67875
aggressor,0.22499999999999998,0.69375
agile,0.61875,0.49375
agility,0.69375,0.40125
aging,0.25,0.35
agitate,0.295,0.6025
agitation,0.22999999999999998,0.46875
aglow,0.605,0.47875
agonizing,0.21000000000000002,0.71375
agony,0.1825,0.5975
agree,0.77125,0.3275
agreeable,0.7375,0.31875
agreement,0.71875,0.38125
agricultural,0.5625,0.31875
agriculture,0.6375,0.25625
ahoy,0.5725,0.36875
aid,0.66125,0.44375
aide,0.575,0.375
aids,0.315,0.34375
AIDS,0.04125000000000001,0.5
ailing,0.24375000000000002,0.43999999999999995
ailment,0.25,0.335
aim,0.61875,0.375
air,0.71375,0.28125
airbag,0.55,0.33
airborne,0.53125,0.315
aircraft,0.6625,0.48250000000000004
aircraft carrier,0.53125,0.45499999999999996
airfield,0.5925,0.4225
airhead,0.38749999999999996,0.4125
airline,0.545,0.39
airliner,0.63125,0.375
airlock,0.48124999999999996,0.40375000000000005
airplane,0.53125,0.5775
airport,0.625,0.5625
airship,0.57875,0.485
airspace,0.5625,0.42500000000000004
airspeed,0.49375,0.41625
airstrip,0.47,0.35375
airtight,0.5125,0.2875
airway,0.49375,0.375
aisle,0.52125,0.1875
ajar,0.5,0.2825
aka,0.45375,0.29875
alabaster,0.5625,0.36875
alarm,0.3575,0.73125
alarm clock,0.30875,0.545
alarming,0.315,0.6875
albatross,0.585,0.26125
albino,0.48750000000000004,0.26125
album,0.64875,0.57875
alcohol,0.38875000000000004,0.52125
alcoholic,0.18625000000000003,0.56
alcoholism,0.125,0.5
alcove,0.5625,0.29
alderman,0.43000000000000005,0.25625
ale,0.61875,0.38749999999999996
alert,0.5475,0.5175
alfalfa,0.47375,0.33375
algebra,0.55,0.44999999999999996
algorithm,0.5375,0.3375
alias,0.5,0.46375
alibi,0.395,0.4375
alien,0.43125,0.48250000000000004
alienate,0.22375,0.40874999999999995
alienation,0.19124999999999998,0.5175
alight,0.58375,0.3575
align,0.61875,0.29
alignment,0.625,0.365
alimony,0.3575,0.26125
alive,0.69625,0.61625
allegation,0.2825,0.6125
alleged,0.3275,0.51125
allegiance,0.6,0.52125
allegro,0.5,0.36125
allergic,0.25,0.55
allergy,0.2375,0.3625
alleviate,0.65625,0.30625
alley,0.39625,0.385
alleyway,0.3075,0.3375
alliance,0.6425,0.42500000000000004
allied,0.61875,0.2975
alligator,0.40375000000000005,0.545
allow,0.67375,0.24375000000000002
allowance,0.7175,0.38125
alloy,0.525,0.29
allure,0.7375,0.40625
alluring,0.7175,0.41874999999999996
ally,0.63125,0.475
almanac,0.56875,0.28
almighty,0.64375,0.44875
almond,0.63125,0.23625000000000002
aloha,0.7625,0.3525
alone,0.35625,0.375
aloof,0.44875,0.26125
alpha,0.5625,0.33375
alphabet,0.61875,0.26875
alphabetical,0.665,0.25
alpine,0.605,0.315
altar,0.57375,0.38125
altar boy,0.47,0.26375
alter,0.44625000000000004,0.39625
alteration,0.50625,0.38125
altercation,0.32625,0.5775
alternate,0.51875,0.31
alternating,0.54625,0.40874999999999995
alternative,0.54125,0.32625
altimeter,0.4375,0.32625
altitude,0.53375,0.39375000000000004
aluminum,0.5125,0.38125
alumnus,0.49375,0.27875
alzheimers,0.15749999999999997,0.4375
amaretto,0.625,0.38
amateur,0.4475,0.31875
amaze,0.78,0.5
amazed,0.81875,0.61875
amazement,0.78625,0.6625
amazing,0.84,0.63125
ambassador,0.5625,0.36375
amber,0.64375,0.295
ambience,0.66875,0.35625
ambient,0.66625,0.275
ambiguous,0.52,0.375
ambition,0.785,0.48250000000000004
ambitious,0.66625,0.595
ambrosia,0.61875,0.38125
ambulance,0.33875,0.54125
ambush,0.27125,0.5725
amend,0.60625,0.2575
amendment,0.575,0.3125
amends,0.71,0.36875
amiable,0.7125,0.23125
amino,0.43125,0.35375
ammo,0.39749999999999996,0.56625
ammonia,0.3425,0.25
ammonium,0.38249999999999995,0.42125
ammunition,0.44875,0.5875
amnesia,0.30375,0.505
amnesty,0.5475,0.3575
amorous,0.61875,0.40125
amount,0.5525,0.31625
amour,0.67875,0.55375
amp,0.59875,0.50625
amphibian,0.55,0.29375
amphibious,0.59375,0.5875
ample,0.61125,0.285
amputate,0.1375,0.55375
amputation,0.10500000000000001,0.48250000000000004
amuck,0.375,0.42625
amulet,0.59375,0.36875
amuse,0.7625,0.52125
amused,0.75625,0.40874999999999995
amusement,0.75,0.47750000000000004
amusing,0.825,0.5225
anaconda,0.42874999999999996,0.625
anagram,0.42125,0.3575
anal,0.375,0.41125
analogy,0.53,0.36875
analysis,0.53125,0.3425
analyst,0.5,0.28
analytical,0.625,0.39125
analyze,0.58125,0.38749999999999996
analyzer,0.4525,0.31
anaphylactic,0.375,0.57125
anarchist,0.21999999999999997,0.395
anarchy,0.335,0.48250000000000004
anatomy,0.66125,0.42874999999999996
ancestor,0.67125,0.34125
ancestral,0.7,0.325
ancestry,0.66125,0.33875
anchor,0.52,0.29
anchorage,0.51125,0.3525
ancient,0.78,0.31
android,0.5775,0.3125
anecdote,0.5775,0.45625000000000004
anemia,0.25625,0.38625
anemic,0.30625,0.30625
anesthesia,0.48,0.33
anesthesiologist,0.49375,0.32
anesthetic,0.56,0.27875
aneurysm,0.1875,0.5475
angel,0.83875,0.405
angelic,0.71,0.40874999999999995
anger,0.1875,0.61625
angina,0.23125,0.46499999999999997
angiogram,0.39875000000000005,0.32625
angle,0.44375,0.2775
angora,0.57875,0.24375000000000002
angry,0.19124999999999998,0.65
angst,0.3125,0.595
anguish,0.2675,0.55125
anguished,0.22249999999999998,0.47375
animal,0.7575,0.4125
animated,0.70625,0.59625
animation,0.6775,0.565
animosity,0.3,0.60375
ankle,0.55,0.26375
anklet,0.46875,0.32125
annals,0.475,0.2
annex,0.42625,0.375
annihilate,0.26875,0.68
annihilation,0.1975,0.565
anniversary,0.74375,0.375
announce,0.565,0.33125
announcement,0.60125,0.4125
announcer,0.605,0.4375
annoy,0.18625000000000003,0.505
annoyance,0.24375000000000002,0.38749999999999996
annoyed,0.22499999999999998,0.53625
annoying,0.25,0.56875
annual,0.52375,0.3375
annul,0.35375,0.40375000000000005
annulment,0.38125,0.39249999999999996
anointed,0.47375,0.29
anomaly,0.48,0.40625
anonymity,0.47624999999999995,0.28625
anonymous,0.59375,0.39125
anorexic,0.21375,0.405
answer,0.6375,0.375
ant,0.3625,0.28375
antagonistic,0.41500000000000004,0.38875000000000004
antagonize,0.26875,0.49375
antelope,0.585,0.4325
antenna,0.55375,0.26875
anterior,0.48624999999999996,0.295
anthem,0.61875,0.43500000000000005
anthill,0.41500000000000004,0.45375
anthrax,0.16499999999999998,0.46499999999999997
anthropological,0.56625,0.3525
anthropologist,0.5875,0.28375
anthropology,0.5375,0.23875000000000002
anti,0.43374999999999997,0.40375000000000005
antiaircraft,0.48124999999999996,0.44999999999999996
antibiotic,0.61,0.38125
antibiotics,0.50625,0.38125
antichrist,0.16999999999999998,0.5725
anticipate,0.625,0.5875
anticipation,0.5325,0.54875
antics,0.36875,0.5125
antidote,0.69375,0.28
antigravity,0.5925,0.5125
antiquated,0.5,0.49375
antique,0.6875,0.375
antiques,0.70375,0.335
antiseptic,0.44625000000000004,0.26875
antisocial,0.27625,0.54
antsy,0.42000000000000004,0.52875
anus,0.2375,0.42374999999999996
anvil,0.50625,0.42500000000000004
anxiety,0.1725,0.47250000000000003
anxious,0.35,0.65
anytime,0.60125,0.44999999999999996
aorta,0.41874999999999996,0.33
aortic,0.40625,0.3125
apache,0.525,0.3375
apartment,0.59,0.35
apartments,0.5,0.285
apathy,0.335,0.35
ape,0.52625,0.40625
apex,0.565,0.31
aphrodisiac,0.67875,0.62
apocalypse,0.28,0.505
apologetic,0.70625,0.375
apologize,0.49250000000000005,0.315
apology,0.655,0.375
apostle,0.5625,0.4225
apothecary,0.56,0.40375000000000005
appalled,0.3275,0.48875
appalling,0.24375000000000002,0.5625
apparatus,0.5625,0.375
apparel,0.5475,0.4125
apparent,0.495,0.27375
apparition,0.48124999999999996,0.47750000000000004
appeal,0.6625,0.32125
appear,0.53125,0.28
appearance,0.6425,0.44625000000000004
appease,0.61875,0.31875
appendage,0.40375000000000005,0.41874999999999996
appendectomy,0.24375000000000002,0.6425
appendicitis,0.10750000000000001,0.515
appendix,0.47624999999999995,0.24
appetite,0.65375,0.54625
appetizer,0.78625,0.43999999999999995
appetizing,0.75,0.47750000000000004
applaud,0.7125,0.50625
applause,0.765,0.5475
apple,0.7025,0.315
apple juice,0.7875,0.275
applejack,0.59875,0.35
applesauce,0.7375,0.22249999999999998
appliance,0.51875,0.22999999999999998
applicant,0.48875,0.37
application,0.50625,0.43999999999999995
apply,0.52,0.28
appoint,0.61875,0.40625
appointment,0.42874999999999996,0.475
appraisal,0.51125,0.38625
appreciate,0.79125,0.2625
appreciation,0.7875,0.45999999999999996
appreciative,0.7675,0.41874999999999996
apprehend,0.39249999999999996,0.51625
apprehension,0.39375000000000004,0.40375000000000005
apprehensive,0.29,0.47124999999999995
apprentice,0.61875,0.32375
approach,0.55625,0.43500000000000005
appropriate,0.6375,0.38
approval,0.71875,0.315
approve,0.75,0.38625
approximate,0.5325,0.3525
apricot,0.61875,0.41125
